Country,Topic-of-the-Week,# of tweets
SA,عبر_عن_تخصصك_بايموجي,3
SA,اربح_5000ريال_مع_العبداللطيف,2
SA,حراسات,2
SD,احتاج_بالوقت_هكذا,1
SE,bernersennen,1
SE,bernese,1
SE,jakt,1
SE,sverigeärfantastiskt,1
SE,svpol,1
SG,ALDUBxEBLoveis,3
SG,CareerArc,1
SG,Engineering,1
SG,Hiring,1
SG,Job,1
SO,Mogadishu,1
TH,Perayahome,2
TH,kohkood,2
TH,kohkoodisland,2
TH,ตราด,2
TH,ทีมพีรญา,2
TN,الواحات,1
TN,تونس,1
TN,تونسيات,1
TN,ليلى_جديدي,1
TN,مصر,1
TR,FurkanPalalı,51
TR,LalOn,51
TR,no309,51
TR,Benimisteğim,3
TR,BöyleBirDünyada,3
TW,Love,1
TW,Paiwan,1
TW,Wedding,1
TW,saomd,1
TW,メモデフ,1
TZ,Kilimanjaro,1
UA,Herd,2
UA,CFB,1
UA,DNA,1
UA,IAmBecauseWeAre,1
UA,Kyiv,1
UG,KingsOfTurnTables,1
UG,KingsOfTurntables3,1
UG,RCSKIGoKartRace,1
US,job,13
US,trumprussia,12
US,Hiring,9
US,impeachtrumppence,9
US,TwitterIn4Words,6
VE,Caracas,1
VE,Oktoberfest,1
VN,ASEAN,1
VN,Hiring,1
VN,UNODC,1
VN,WeAreOne,1
VN,job,1
ZA,takecharge,2
ZA,AllinPirates,1
ZA,BMWMFestival,1
ZA,BeautyPlus,1
ZA,CeeLovesRain,1
ZW,southsamorasavage,1
